Id,Saleprice
2658,124213.33564460817
2718,159673.0221321765
2414,231915.69945844944
1989,115890.37552129412
625,176323.66167509058
333,81127.75487761812
1327,96964.37430444043
858,161530.71743243057
95,175460.15116078148
1568,165848.27121553116
2482,157558.61099782644
1364,123567.48121935617
2584,159088.72397109843
818,259528.23016135907
2673,138364.52675187553
2089,117788.15517156148
1297,167080.94222641416
790,119139.618699167
2616,187012.61743414437
720,197784.8979245868
222,145471.87566352016
557,126406.76971159515
1148,173214.37778686752
2766,165933.0471740758
534,178728.4992245337
1452,128397.26199803839
630,131713.70970402664
2648,136494.47300604283
125,171332.2580144126
1904,43901.31595391649
1670,104450.48093685244
756,113671.79107937161
717,206215.93147567415
1032,153541.46558349425
852,224635.5427841527
1731,181292.2905893864
2639,109121.65194659805
2071,72804.9258150292
1267,144603.530645634
1851,196138.58563721774
567,170036.66532187842
2439,206195.01353196875
1898,149936.98119973083
647,161022.85341822315
2256,211559.37279793344
979,86557.71228559621
1444,228638.26225971087
2485,119546.06921332306
157,115684.58362619852
88,114099.59232117278
2003,108507.22094382228
186,211843.69275579703
1425,242655.40552106366
2695,126556.45972109106
738,103861.24341634157
395,155051.64608253993
1353,165379.14167037903
1878,151264.24004799203
390,167416.5073992078
1456,231566.31848631584
1103,312302.23807734175
1387,122519.5629356574
2070,144215.44807840153
1199,172832.3192016493
2479,187471.18816514543
501,325505.29586004897
2362,89123.6281157413
1718,225667.0090062406
2188,70486.72539410253
1483,165505.05616619956
2557,97802.86613411264
437,348536.8662226385
2224,208862.5130870749
1628,181956.30919968657
397,132698.60979297318
587,198910.37370275366
2182,482861.4427743331
971,151204.72503248276
2611,138213.29775494884
1887,86270.49855136492
2399,363691.54824307177
2148,202203.01602833872
304,133602.71561103218
1997,133808.43544540677
2817,111370.83329172274
1431,211065.28814562943
427,345132.5460473539
263,130897.19782701282
598,193011.10888914252
2895,225256.86905942275
687,137789.07918983288
1822,127717.04423104798
2191,101459.97254299004
179,109943.73880857076
1009,249001.23895660092
2010,119655.54815937538
1991,143279.46270207758
1411,167744.0513779239
1721,256475.23299413547
1144,196186.95455880425
593,215656.93807747573
575,287311.1518036076
1249,187639.94705808113
1604,121795.83893651163
1064,418603.72304762085
1923,149327.4689777162
1988,110928.43400553502
2325,178897.7614571179
114,198694.82994358943
2700,175126.89171462026
217,117039.42271133217
343,178201.14633515503
386,222366.90137335486
2005,91526.73832210684
2908,118604.58019939672
1814,236318.2031396809
2446,438991.43269863306
208,145053.2767488312
1679,102095.9585409691
822,306108.0564212545
6,191820.02948573974
1781,365828.88370702165
2397,320770.0926332973
2340,314345.9627467997
1618,174959.94300159378
2843,139817.70707461768
1061,359144.4848427101
2786,123401.59388519987
1935,125879.47815545842
1341,118825.30616305282
521,258872.3043772119
2136,147404.05238584866
996,200077.1402756356
227,147650.5076741574
135,177379.13640780776
1167,153127.85717043243
294,226227.70508522293
1776,203313.40758542053
540,170539.9817948331
1717,237891.69699610648
2303,115352.32446161847
116,184098.62448467463
127,151391.56652654428
1371,129712.2191904485
1014,178280.8334002563
1507,82771.13409458468
702,139372.53182921477
750,151047.98707208812
261,151043.77184673178
1559,67636.24520705552
577,225317.77459902485
2812,194763.37379353147
2080,159722.14050138596
1368,96582.87465472336
2376,126113.93484735193
659,116354.02651791298
1235,130275.18718875661
332,70985.09724518828
1917,137451.5127800857
2094,241457.65893982677
1460,246895.713980479
1471,216461.66749357452
1509,116997.86148054659
1922,119589.32454458147
433,444254.10090184765
460,279593.2682288689
1116,246078.99372527705
1137,161875.19289070994
53,177475.6677808381
2354,254974.3749003305
1475,210157.15227140597
1761,442975.49870002986
842,134274.51876115304
2739,176660.60313563448
2509,153618.26744220036
1007,208719.42319976605
2610,168341.16102296242
1952,103708.78011191847
2719,162493.78891336152
2921,81250.55427185602
1966,149193.67119020346
292,128154.5623862684
1204,198423.73262428195
1829,242898.18955089216
2419,195766.06741231587
391,163050.74400330262
798,126147.04517280756
